created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-23 20:46:39,covidhoax BLM,2,140,Hmmmmm..... Interesting.... #covidhoax and #BLM are connected...and guess which party they are connected to?  Worth… https://t.co/My4QTUYj90
2020-08-23 20:39:25,vaccine Covid COVID19 CovidHoax COVIDー19,5,81,"SAME HERE!

#vaccine #Covid #COVID19 #CovidHoax #COVIDー19 https://t.co/zLl5PMNFly"
2020-08-23 20:38:35,CovidHoax CovidCure,2,140,"@NYGovCuomo The SCIENCE says they DON'T!!

#CovidHoax

@realDonaldTrump will make the easiest cheapest #CovidCure a… https://t.co/vyxJsJScOl"
2020-08-23 20:33:07,CovidHoax,1,140,@ASlavitt It is difficult to get people to test the vaccine when so many still believe this is a #CovidHoax  and th… https://t.co/0hiRPPQSEA
2020-08-23 20:31:50,COVID19Victoria ChurchillShow,2,140,https://t.co/0I3fobR6so A mask that guaranteed to keep the bats out of your mouth 😏 #COVID19Victoria #ChurchillShow… https://t.co/1F05sZ7Xkk
2020-08-23 20:27:47,FakeNewsMediaClowns,1,140,#FakeNewsMediaClowns are pushing the false narrative in order to keep people afraid and destroy the economy. Simple… https://t.co/9yjZ7Q9nSd
2020-08-23 20:23:25,,0,140,"So after months of SEGREGATING the nation into Solitary Confinement...... 

All the coughs and colds that will appe… https://t.co/E5vi23Qzhq"
2020-08-23 20:11:43,NoNewNormal NoMasks,2,126,"Absolutely brilliant at the @freenationtoday meet today!
@garethicke @StandUpX2 #NoNewNormal #NoMasks… https://t.co/8zYyKNMUKz"
2020-08-23 20:10:33,,0,140,@Scottty87 I'm out in a restaurant slugging red wine and eating Italian food and supporting the economy which is th… https://t.co/g6zCLuZ4r7
2020-08-23 20:10:23,,0,140,"I don't know of any Republicans who even know any Republicans who believe the CDC numbers are accurate.

I don't be… https://t.co/DCcxYoCHae"
2020-08-23 20:04:34,,0,141,"What’s funny, is most jurisdictions by-laws are in place through September or October.
So, why THIS &amp; why NOW? 🤔… https://t.co/L3OadQFLT6"
2020-08-23 20:00:01,Plandemic Scamdemic Pandemic,3,128,Don't be afraid of telling them to shove the new normal up their arse ! #Plandemic #Scamdemic #Pandemic… https://t.co/1upV5EqDLC
2020-08-23 19:58:11,,0,139,"Rights first, medical exemption second. I'm doubly covered! Yay me! 

Thanks for the link! Let's spread it around.… https://t.co/ZCj52mmPPX"
2020-08-23 19:58:11,BlueFlu NoMasks,2,144,"@montaga
RETWEET💥
Help our lawyers legally prove a #BlueFlu &amp; end mandates #NoMasks
KEEP AMERICA'S KIDS HEALTHY❤
Le… https://t.co/twH17EirM7"
2020-08-23 19:53:25,treasonous Cowards,2,139,"@EveningStandard Lying #treasonous #Cowards

Can’t wait till they all lose their jobs too 😉 because people wise up… https://t.co/sWH77MxTQf"
2020-08-23 19:51:08,CovidHoax,1,85,Just imagine how many the whole country has had... #CovidHoax https://t.co/z52dPvK41O
2020-08-23 19:50:09,COVIDー19,1,139,Sociopathic traits linked to non-compliance with mask guidelines and other COVID-19 containment measures #COVIDー19… https://t.co/EL0Oj3C2IR
2020-08-23 19:47:28,,0,135,@Janerob38397305 @AlexMcNeil14 @simondolan They’re often busy coreogrpahing Tiktok dances like the overwhelmed… https://t.co/CNc4F6fzLA
