created_date,hashtags,num_hashtags,tweet_length,tweet_text
2020-08-30 16:44:46,,0,137,Covid-19 Times - Driving Detroit - Urban Architecture - For Lease - Come... https://t.co/mgl8cNT0Zv via @YouTube… https://t.co/lJeT4NDMRl
2020-08-30 16:44:14,,0,140,"This is what Trump has done to America and it’s awful. Instead of being united like we’re supposed to be, we’re div… https://t.co/DqHinhhsM2"
2020-08-30 16:44:07,WearAMask,1,109,"@mylittlebaklava @DrTedros @gabbystern @RalphLauren Well done Yannis, #WearAMask can be nicely done in style!"
2020-08-30 16:43:35,,0,139,If you see me in a shop without a face mask pls tell me off. Twice today I’ve forgotten and wandered around a shop… https://t.co/C2XaHnmN0J
2020-08-30 16:43:20,WakeUp,1,140,"ARE YOU ALL GETTING IT YET?

#WakeUp !

WE ARE ALL BEING LIED TO
THEY ARE LAUGHING AT US
AT HOW EASY WE ARE TO CONT… https://t.co/txal4tMQ0D"
2020-08-30 16:43:17,,0,138,"@Walmart Middletown NY, asked this jerk to put his mask on. He already had it, so hes not worried! This is bull!.… https://t.co/H8haTj3A1Y"
2020-08-30 16:43:02,WearAMask,1,57,This has got to stop.  #WearAMask https://t.co/k3BMgXlpC5
2020-08-30 16:42:56,WearAMask,1,127,@ChrisMurphyCT @mckeonmk He doesn’t care. He just wants the economy back so he’s pretending covid is gone. It’s not. #WearAMask
2020-08-30 16:42:26,,0,140,"Who are these “certain individuals and categories of people  “ @MinofHealthUG is talking about to pay the UGX 240,0… https://t.co/gIJdTz0lBR"
2020-08-30 16:42:03,Onam StaySafe WearAMask Onam2020,4,76,"Happy #Onam to all . 
#StaySafe #WearAMask
#Onam2020 https://t.co/H9abUobwkp"
2020-08-30 16:41:37,,0,139,I've seen a few cool custom facemasks on here with names and school logos. Where are people getting them from? Any… https://t.co/WKk8MK9lHl
2020-08-30 16:39:53,WearAMask,1,43,@kenolin1 This is all for a mask #WearAMask
2020-08-30 16:39:27,,0,139,"@herschmd For safety of others and self, it's so critical to cover the nose as well as the mouth. Even while being… https://t.co/czqEaMutL8"
2020-08-30 16:39:16,,0,140,"@RealDeniseWelch them at some point in the future, but that didn’t seem to make sense. Thanks for your expert opini… https://t.co/RmioZmRYUR"
2020-08-30 16:37:23,WearAMask,1,134,@elaine03162002 @bridgette_TN @MariebDK @Nicole_Romi @theresa_1922 @smama_bear @CRISTY_bello 🙋🏼‍♀️🙋🏼‍♀️🙋🏼‍♀️ absolutely!😊😊😊 #WearAMask
2020-08-30 16:36:36,,0,140,I am having trouble understanding the “no mask” brigade telling the “mask” brigade our human rights and freedoms ar… https://t.co/3toHUgPA4B
2020-08-30 16:36:31,,0,140,"@hsfi This “analysis” article doesn’t mention that Democrat Robert Kennedy Jr, the nephew of President JFK, also sp… https://t.co/uoBnLbOUB9"
2020-08-30 16:35:48,,0,139,We moved up to an empty row. As we sat down the “mask less” guy with runny nose pretending to eat started sneezing… https://t.co/omPuI9gkVz
2020-08-30 16:34:53,WhoAmIMaskChallenge,1,140,"#WhoAmIMaskChallenge 
Retweeting these spots is a quick action you can take today to speed the end of Covid-19.

Wh… https://t.co/mBTOeiaYsH"
2020-08-30 16:33:39,WhoAmIMaskChallenge,1,140,"#WhoAmIMaskChallenge 
Retweeting these spots is a quick action you can take today to speed the end of COVID-19.

Wh… https://t.co/Pc8JJvCu3O"
2020-08-30 16:33:20,MasksWork WearAMask,2,86,@votevets Entitled white Man thinks rules don’t apply to him☹️😷😷😷#MasksWork #WearAMask
2020-08-30 16:33:19,KarensGoneWild KarenStrikesAgain WearAMask,3,136,"Crazy Ass Karen With The Fake DOJ Papers!! Go Home Trump Loser!! 
#KarensGoneWild
#KarenStrikesAgain
#WearAMask… https://t.co/3zEdB2HkPG"
2020-08-30 16:33:12,StaySafe WearAMask,2,125,"Hey, it's still here. Keep your mask on over both your mouth and nose.

Thanks!

#StaySafe #WearAMask https://t.co/JIWgWEc0ib"
2020-08-30 16:32:54,,0,137,Covid-19 Times - Driving Detroit - Urban Architecture - Development - Pa... https://t.co/XpQFS6GY0w via @YouTube… https://t.co/eLsHl4J6kN
2020-08-30 16:32:41,CovidIsReal CovidKills COVID19,3,83,"normalize a new normal 
#CovidIsReal 
#CovidKills 
#COVID19 https://t.co/v17dxuEYPS"
2020-08-30 16:32:30,COVID,1,138,"#COVID.

COVID

COVID

COVID

COVID
 
COVID

COVID

COVID

COVID

COVID

COVID

COVID

COVID

COVID

COVID

COVID… https://t.co/4SRETUed0r"
2020-08-30 16:32:27,WearAMask,1,40,This. #WearAMask https://t.co/UaZ8gm8TjZ
2020-08-30 16:31:49,,0,140,@louisvilledad14 @metellaporcia @DaveensMoore @snarkgrapefruit @CherylBarnesHu2 But you're not really helping the O… https://t.co/lGSHBFdq8K
2020-08-30 16:31:36,WearAMask,1,63,"Just wear a fucking mask.  

#WearAMask https://t.co/wOlSlKp10e"
2020-08-30 16:31:36,Ignorant Walmart WearAMask,3,139,#Ignorant people exist. And they seem to be multiplying... #Walmart employees don't deserve this. #WearAMask  Find… https://t.co/f5f6BHztpR
2020-08-30 16:31:14,,0,140,@realDonaldTrump Didn't you learn that an ounce of prevention is better than a pound of cure? If you had assisted s… https://t.co/SgE7QTcv25
2020-08-30 16:31:08,,0,140,"He says, “respect my rights, no one else’s.” Nailed it! I will never understand the RAGE of Americans who refuse to… https://t.co/9KGXUuldoD"
2020-08-30 16:30:58,trumpvirus WearAMask idiot accountability,4,117,"@realDonaldTrump #trumpvirus kills

#WearAMask #idiot tRump 

#accountability  @POTUS @FLOTUS https://t.co/PSnRy2iyLq"
2020-08-30 16:30:38,losangeles california wearamask,3,92,"Favorite masks in socal roundup! #losangeles #california #wearamask 
https://t.co/jIpbxzYIwt"
